Original Review,True Label,Predicted Label
i really like the donut shop coffe so i tried this one it is not nearly as bold which is what i like it does have a good flavor tho i have found that costco sells this and several others for only count,neutral,positive
while the price for the ryvita was cheaper than anywhere i could buy it in a store locally i d caution other buyers from getting more than one case at a time my order arrived recently with no problems but the sell by date is august it seems these were sitting around somewhere and the reason they are less expensive is the shelf life is short,negative,positive
it is tasty like coffee mate which i actually like but i m afraid it s far less nutritious than soy milk or milk serving g powder has calories but only contains g of protein g of non fat milk powder contains g protein and the list of ingredients for this product is long with several long words br br i will keep it but only as coffee creamer to be fair it is probably healthier than regular coffee creamer buti don t think it is as natural healthy and nutritious as soy milk,negative,neutral
i have young labs who really enjoyed these chews but the long lasting is a little deceiving i thought it would take days for them to soften the chew and get little pieces off it but they didn t last more than hours while i would purchase this item again as a special treat they are a little expensive for all the longer they lasted with my dogs i would not recommend this for aggressive chewers,positive,negative
i like the other jerky products i have tried from golden valley very much but the sweet n spicy buffalo jerky is a bit too hot for my taste i thought sweet and spicy meant medium hot since it wasn t called sweet and hot this jerky is hot it is hard to appreciate the jerky or the sweetness of it if your mouth is burning actually it is not burning red hot but is a little too hot for someone who likes spicy to be a little less than medium on the hotness scale the jerky itself is wonderful just the right amount of tenderness and chewiness if you like a little less than medium hotness then try a different flavor of their jerky they re great,neutral,positive
i have two retriever s ages and one year while both loved the chew they tore thorough them in just under an hour i was really expecting them to last longer at least a couple of hours but no such luck i ll probably go back to bully sticks but it was worth a try,negative,neutral
well everyonyone likes something else when it comes to flavor but these don t have spices which i dislike such as mint these are somewhat strong in the sense of the saltiness acidity which i like the texture is on the mushy side the expiration date was a couple years into the future the one problem is that the way they are packaged caused a few of the cans to dent amazon needs to be more careful packing these,positive,negative
we have always enjoyed this product and can easily buy it locally we have a special need nephew who wanted the classic royal dansk tin as pictured we received the winter holiday image tin which he will enjoy but if we had known we wouldn t have spent three times as much including extra shiping and used that money for other seasonal joy,neutral,positive
i have a pure breed gsd and had problems for years with upset stomach eating grass and throwing up bile in the morning and then would not eat as her stomach was too upset it finally dawned on me that due to throwing up bile in the am was that the food was not staying with her i even tried feeding her before going to bed at night and still did not work i tried evo and i could not believe the change she does not get us up at night to go outside she was having bowel movements every day and now she has or sometimes i have had her on the evo large bites for almost a year now and she has not been sick once it is the higher protein in this food that stays with her longer and has made all of our lives so much better thank you thank you evo,positive,negative
disclaimer i have this on subscribe and save br br i make yogurt with raw milk and this product when i don t have any yogurt lying around it makes for a very tangy yogurt that is fairly runny milk heated to f and incubated at same for hours br br if i cook the milk to f then cool to f before adding this then it makes for a very firm yogurt that is bland br br so if i had to make a recommendation it would be to buy this if you re wanting bland yogurt that will be mixed with various fruits otherwise just use a dollop of an otherwise edible yogurt as a starter and chance the result br br it does contain sucrose so if you re attempting to be paleo primal you will need to weigh up whether that s acceptable or not br br bland and firm vs runny and tangy your choice,neutral,positive
i initially purchased the product for mostly its value along with the fiber and fruit i was surprised that the cereal remained crunchy even after adding milk i prefer almond milk and setting it aside a few minutes the ginger and cranberry are added benefits of the taste,positive,negative
i buy these cookies from walmart for which periodically drops down to a pack br for four of those is above the walmart price br br i certainly understand that prices differ from retailer to retailer but not by,negative,neutral
the bottles leaked br br a m damage reported damage claim under investigation br a m transportation accident occurred all merchandise discarded ups will notify the sender with details of the damage,negative,positive
the almond oil is a great light oil for cooking and is really good when cooking fish it has a light sweet taste in addition it is likely to be a healthy oil as almonds are one of the healthiest nuts however this particular product has a shipping cost of around dollars at the time of this review which is about the same cost as the product this is obviously too high to be fair,negative,positive
as another review noted there are no directions for the use of this product on or with the product or anywhere i looked on the internet i tested this product in ways br applied the product to dry hair at the end of a day dabbed a pea size drop or two in my hands rubbed them together and applied them to hair got the frizzes out tamed the hair w o taking too much body out br shampooed hair applied product as conditioner and ended up with extra greasy hair br br frankly i dont know how one would apply this solely to the scalp unless they have hair less than an inch long i tried to go primarily for the scalp in both my dry and wet applications and neither of the applications seemed to work for me in treating the scalp br br good to apply to dry frizzy hair otherwise confusing for me,neutral,negative
first off i should say that i didn t read the ingredient list on this product as carefully as i should have as anyone with food allergies i m ultimately responsible for carefully reading all labels the peanut flour was clearly marked in the ingredients list i just wasn t careful enough my main food allergy is wheat so i am always on the look out for gluten free products however i m also allergic to peanuts though not deathly so this product includes peanut flour which was a little unexpected in my opinion for a chocolate cereal that doesn t include peanut or peanut butter in the title br br that said the cereal is okay i was hoping it might be something like special k chocolate which was an occasional treat before i developed a wheat allergy unfortunately it was nothing like that there s a chocolate like dust applied to standard rice chex it s artificial and it colors your milk like milk chocolate more like sugary kid cereals i didn t think it was disgusting just not my taste,negative,neutral
i first had cucumber water in a restaurant and fell in love with it right away i know i know i can make this simple water myself but i don t have time i saw the bottle and grabbed it to try it tastes weird is there such a thing as too much cucumber it smells good though br br feel free to try it for yourself since everyone has their own unique tastes,negative,positive
i ve read that this product is processed in a facility that also processes wheat gluten dairy and soy for those of us looking for a gluten free alternative to refined sugar this product is not for those sensitive to gluten especially those with celiac disease,neutral,negative
i thought i was going to have to give up granola once i went gluten free the other granolas i tried well let just say they tasted like they should be good for me udi s gf granola is light years better that all other gf granolas crunchy and stightly sweet br purchasing note you do get bags of granola i ordered the subscription and used the discount code udiso ii list about down from the top of the page and got almost off,positive,negative
personally i thought the rice balls sort of reminded me of tapioca balls you get in those smothies they kind of burst when you bite into them i will not be purchasing any more of the rice i will however be buying a lot more of the noodles the noodles are very similar to pasta noodles makes a very nice quick easy pasta i only wish i could get it like a lasagna noodle,neutral,positive
